Query	UserId	ChatsNum	BotAnswer	BotHelp	SysName
Здравствуйте! Как отразить переплату прошлых лет по ндфл и страховым взносам с использованием счетов 303.01 303.15 303.14 выявленную в 2023 году?	13283381	1	0	0	gosfin
По какому КВР бюджетному учреждению произвести оплату авиабилетов адвокату к месту проведения судебного заседания ( привлеченное лицо, не является сотрудником организации).	11188537	1	0	0	gosfin
Билет приобретен за счет средств адвоката	11188537	1	0	0	gosfin
Здравствуйте , с какого вида расхода оплатить за тонер для картриджа ?	16160178	1	0	0	gosfin
Добрый день. Мы автономное учреждение. подскажите, пожалуйста, входит ли в расчет среднего заработка для командировок или отпуска разовая премия за особо важные задания, премия к профессиональному празднику и т.д.?	4808262	1	0	0	gosfin
Добрый день Прошу дать разъяснение по следующему вопросу:	1956593	1	0	0	gosfin
Добрый день! Научный сотрудник оплатил за публикацию статьи в научном журнале. По какому КВР и КОСГУ возместить эти расходы	2446123	1	0	0	gosfin
Как списать автотранспорт? Какие необходимы документы?	15220276	1	0	0	gosfin
Здравствуйте,учитывается материальная помощь к отпуску при расчёте выходного пособия при сокращении штатов?	10233295	1	0	0	gosfin
Здравствуйте! По какому косгу отражать откачку житких бытовых отходов и сточные воды? И можно ли их отражать по одному косгу?	14791793	1	0	0	gosfin
"Доброго времени суток, Уважаемый эксперт, в Решении о проведении инвентаризации прописана подпись ""Ответственный исполнитель"", кто правомочен подписать, в каком регламенте (документе) это прописано"	20478108	1	0	0	gosfin
Здравствуйте, такой вопрос: приказ об увольнении руководителя и назначении нового руководителя вышел 11 сентября, а заявление на изменение ЕГРЮЛ подаем только в ноябре. какая ответственность наступает? размеры штрафа?	4449413	1	0	0	gosfin
6НДФЛ 1 раздел должен ли равняться сумма переданных уведомлений за месяца, указанные в 6НДФЛ. Что делать если не равняется.	17860504	1	0	0	gosfin
Здравствуйте, подскажите пожалуйста оказание финансовой помощи включается в объёме свободного закупа?	3495394	1	0	0	gosfin
Добрый день, как заключить контракт по энергоснабжению на 3 года, если денежные средства доводят не в полном объеме?	4162443	1	0	0	gosfin
По какому КВР бюджетному учреждению произвести компенсацию расходов за приобретение авиабилетов адвокату к месту проведения судебного заседания ( привлеченное лицо, не является сотрудником организации).	11188537	1	0	0	gosfin
Ответственный исполнитель это председатель инвентаризационной комиссии, бухгалтер составляющий документы?	20478108	1	0	0	gosfin
Здравствуйте, по какому косгу провести работы по сбору, транспортированию, обработке, утилизации, обезвреживанию, размещению отходов производства и потребления (услуги по договору), проще говоря утилизация огнетушителей.	463588	1	0	0	gosfin
Здравствуйте, подскажите, как правильно списать испорченные продукты питания, какой КПС применить?	10842218	1	0	0	gosfin
Могут ли в учреждении быть оформлены 2 Решения о проведении годовой инвентаризации (по определенному участку учета отдельное решение)?	5923303	1	0	0	gosfin
Казенным учреждением заключен муниципальный контракт с Региональным оператором на оказание услуг по обращению с твердыми коммунальными отходами (в том числе транспортирование, обработка, обезвреживание и захоронение ТКО) с городского кладбища. Само кладбище и контейнеры для ТКО стоят на балансе учреждения. На какое КОСГУ принять данный вид услуг?	7805710	1	0	0	gosfin
Здравствуйте, такой вопрос в связи с блокировкой счетов у бюджетных учреждений: можно ли получить денежные средства наличкой за мед. услугу от бюджетной организации, если заключен договор безналичного перечисления средств ?( Мы (бюджетное учреждение) выставили счет другой больнице в рамках договора на мед. услуги, но так как их счета заблокировали, они не могут оплатить нам по безналичному расчету). Можно ли получить с больницы наличку через кассу? Как и какими документами оформить?	13256021	1	0	0	gosfin
спасибо	4449413	1	0	0	gosfin
как позвонить на горячую линию?	367241	1	0	0	gosfin
По какому КВР, КОСГУ бюджетному учреждению произвести компенсацию расходов за приобретение авиабилетов адвокату к месту проведения судебного заседания ( привлеченное лицо, не является сотрудником организации, действует на основании соглашения).	11188537	1	0	0	gosfin
Вы не ответили на мой вопрос	1956593	1	0	0	gosfin
Добрый день, возник вопрос.	3682136	1	0	0	gosfin
Здравствуйте, услуги спец техники косгу 225 / 226?	6417053	1	0	0	gosfin
Здравствуйте, просим разъяснения по вопросу: на основании какого нормативного документа необходимо включать сотрудников бухгалтерии в инвентаризационную комиссию,	1606024	1	0	0	gosfin
добрый день. можно уточнить предмет договора: Работы по разработке (актуализации) схемы водоснабжения, водоотведения. какой Доп ФК учитывать?	250976	1	0	0	gosfin
Добрый день. Учреждению был подарен купон в магазин бытовой техники, на него они приобрели основное средство. Как принять к учету ос?	17132482	1	0	0	gosfin
"Здравствуйте! При проведении инвентаризации в декабре 2022г.в нашем казенном учреждении комиссией было принято решение списать принтер, как объект, который не соответствует понятию ""актив"", т. к. нет комплектующих. Принтер списали со счета 101.34 на счет 02.3 до согласования с учредителем. В ноябре 2023г. при инвентаризации объектов на счете 02.3 комиссия решила этот объект восстановить на баланс, т.к. нашли комплектующие для ремонта. Как отразить этот объект в инвентаризационной описи?"	403773	1	0	0	gosfin
Здравствуйте. Подскажите, пожалуйста, в каких случаях заполняется накладная на внутреннее перемещение объектов нефинансовых активов (форма ОКУД 0504102), а в каких требование-накладная (форма ОКУД 0504204) в казенном учреждении?	13328865	1	0	0	gosfin
какими проводками отразить в учете задолженность за судьей, который не является нашим сотрудником? (была выдана мантия судье в прошлом году, которая приобретена по ГК; срок полномочий был меньше 3-лет, необходимо сделать возврат ден.средств)	3344070	1	0	0	gosfin
Правомерно ли нарушение в части выплаты компенсации при увольнении, согласно ст. 140 ТК РФ. В нашем случае, при поступлении приказа в день увольнения, мы отправляем кассовую заявку и только на следующий день через УФК зачисляются денежные средства. Является ли это нарушением по срокам выплаты, причитающихся сумму при увольнении?	1866531	1	0	0	gosfin
Такой вопрос мы хотим провести закупку на поставку котлов ОКПД2 25.21.12.000.Мы можем провести ее через запрос котировок	18896163	1	0	0	gosfin
Здравствуйте, контрагент по решению суда будет выплачивать дебиторскую задолженность, как отразить в учете, дебиторка была списана у учета когда еще были ФГУП	5880610	1	0	0	gosfin
здравствуйте, подскажите пож-та имеется или нет ограничения по суммам при составлении корректирующей счет-фактуры, н-р поставщик произвел поставку товара по упд, в результате федеральной забраковки товар (лек.препараты) были полностью возвращены - может ли поставщик поставщик выставить корректирующую на нуль? и затем по следующей корректирующей произвести повторную поставку?	8910107	1	0	0	gosfin
Здравствуйте. По данным бухгалтерского учета перед поставщиком числится кредиторская задолженность по счету 302.31 за предыдущие года. При сверке выяснилось, что задолженность отсутствует. Как можно списать задолженность?	7887182	1	0	0	gosfin
какими взносами облагается сверхнормативный багаж, оформленный командированным сотрудником?	1895009	1	0	0	gosfin
Добрый день! подскажите указатель на метал.подрамнике мы платим по ст.346?	18377569	1	0	0	gosfin
Добрый день. Подскажите, сгорел автомобиль скорой помощи. и теперь учреждение подает на списание перечень оборудования, которое сгорело в данном авто. Учредителю нужны ли какие то документы, подтверждающие, что оборудование находилось в данном авто?	16750108	1	0	0	gosfin
Здравствуйте! Вопрос: с какого вида расходов оплачивается закупка клавиатур и мышей для компьютеров?	7793659	1	0	0	gosfin
Здравствуйте, обязательно ли процедура проведения торгов, при сдаче в аренду части недвижимого имущества до 20 квадратных метров	292694	1	0	0	gosfin
Добрый день. Подскажите если человек устроен на 0,5 ставки расчет заработной платы мы делаем по часам или по дням.	3564160	1	0	0	gosfin
Здравствуйте, контрагент возмещает денежные средства за непоставленный товар на основании решения суда.Какие бухгалтерские проводки применить в бюджетной организации?	10233295	1	0	0	gosfin
доброе утро! подскажите, где почитать, как правильно поднять на баланс имущество, переданное министерством образования края учреждению в пользование и учтенное на забалансовом счете 01. получили решение учредителя о закреплении права оперативного управления на это имущество.	18377511	1	0	0	gosfin
Здравствуйте. Подскажите пожалуйста, каким образом организация может оформить единовременную выплату, людям не состоявших в трудовых отношениях в данной организации.	1564663	1	0	0	gosfin
С какого косгу оплатить за техническое заключение на оборудование с последующей утилизацией? техническое заключение и утилизация в одном договоре.	8058990	1	0	0	gosfin
добрый день, можно ли отнести к бланкам строгой отчетности Почетные грамоты приобретенные по косгу 349	16356963	1	0	0	gosfin
как правильно описать, что не возможно внести изменения в план график прошлого финансового года?	4162443	1	0	0	gosfin
В бюджетном учреждении проводится оплата за монтаж GSM-модема.GSM-модем не является собственность учреждения. По какому КОСГУ провести оплату и как отразить в бухгалтерском учете?	14649014	1	0	0	gosfin
регистрационный сбор для участия в форуме,КЛСГУ?	9491123	1	0	0	gosfin
Здравствуйте! Автономное учреждение загородный оздоровительный лагерь, финансируется из муниципального бюджета в виде субсидий на выполнение муниципального задания и иные цели, а также реализует путевки на отдых детей физическим и юридическим лицам, получает доход. На конец года остается неизрасходованная часть денежных средств от реализации путевок, т.е. доход превысил расход. Нужно ли по результатам года оплатить налог на прибыль с оставшейся суммы или нет?	14678681	1	0	0	gosfin
Здравствуйте. Военная часть передала казенному учреждению (ОМСУ) демилитаризованную дивизионную пушку для установки в качестве памятника. На каком счете учитывать поступление? Считать ли его ОС? или сразу сажать на забалансовый счета? По данным в/ч: Балансовая стоимость 712128 руб., год выпуска 01.01.1949г, введено в эксплуатацию 01.01.1949г	4347578	1	0	0	gosfin
"Добрый день! В администрации района с 1 октября 2023 произошло повышение заработной платы, путем изменения новых окладов и выплат, установленных к окладам. Повыщение заработной платы произошло по всем сотрудникам в различном диапозоне (процентах), у одних сотрудников в общей сумме увеличение составило 18,0%, у других - 21,0%, у третьих - 25,0% и т.д.
Вопрос: как правильно рассчитать размер отпускных? Следует устанавливать индексацию или нет? Если да, то каким образом?"	5150666	1	0	0	gosfin
Здравствуйте, подскажите пожалуйста какой ОКОФ применить к модульному торговому павильону, который стоит без фундамента.	3373624	1	0	0	gosfin
Здравствуйте! Подскажите пожалуйста, может ли директор автономного учреждения быть молом иои лицом ответственным за целевое использование? или лучше что бы имущество (мебель, комп и т.д.) все же числилось за отдельным человеком	1681496	1	0	0	gosfin
Автономное учреждение безвозмездно передает наличные денежные средства своей профсоюзной организации на основании коллективного договора. Какими проводками в бухучете отразить?	315156	1	0	0	gosfin
Здравствуйте! Может ли организация принять инженера по охране труда без соответствующего обучения? Затем обучение провести за счет организации с момента его принятия?	17566756	1	0	0	gosfin
Здравствуйте, автономное учреждение предоставило услуги фрахтования транспорта вместе с водителем, как отразить доход в бухучете	18887796	1	0	0	gosfin
"Добрый день. Вправе ли муниципальные бюджетные учреждения культуры самостоятельно устанавливать цены на услуги по основным видам деятельности, руководствуясь ""Основы законодательства Российской Федерации о культуре"" (утв. ВС РФ 09.10.1992 N 3612-1) статья 52?"	3737432	1	0	0	gosfin
Добрый день, подскажите пожалуйста ,как списать краску ,если по смете израсходовано меньше банки	1654437	1	0	0	gosfin
Образовательное учреждение реализует литературу. Какая ставка НДС применяется.	19386260	1	0	0	gosfin
Добрый день, каким образом поставить на учет имущество, подаренное физическим лицом	2510807	1	0	0	gosfin
ну да, сверхнормы	1895009	1	0	0	gosfin
Добрый день! Как бюджетному учреждению отразить передачу нежилого помещения по договору безвозмездного пользования другому учреждению?	6008564	1	0	0	gosfin
где должны быть прописаны и как утверждены дополнительные отпуска в организации	14384997	1	0	0	gosfin
Вопрос не в этом... есть соглашение и оно определило 30% от оклада, применять ли повышающие коэффициенты на размер доплаты?	2718385	1	0	0	gosfin
Здравствуйте! Нужно ли оформлять решение о признании объекта НФА после восстановления его на счете 101 со счета 02?	403773	1	0	0	gosfin
Право предоставления помещений по договорам безвозмезлного пользования государственными бюджетными организациями.Ккаким документом регламентируется?	17414336	1	0	0	gosfin
Добрый день! Я могу в данной программе посмотреть свое обучение, которое я проходила онлайн вчерез систему Госфинансы	2115227	1	0	0	gosfin
Здравствуйте! Казенное учреждение в декабре 2023 года будет заключать контракт с Исполнителем на право оказания консультационных услуг, оформление документации проведением запроса котировок, допускается прописать в контракте предоплата 50 процентов.	2776216	1	0	0	gosfin
Доброе утро, купили картрижды. Отнесли на счет 105. Можно сразу же их списать на расходы	4229763	1	0	0	gosfin
добрый день, какой проводкой начислить и списать неустойку по контракту	16356963	1	0	0	gosfin
Казённое учреждение детский сад взимает родительские взносы, на каком счету должны поступать уплаченные родительские взносы? По моему мнению казённое учреждение может оказывать платные услуги а родительские взносы детским садом хоть и казённым обязательно и эти средства должны поступать в доход бюджета, то есть на счёт учредителя. Прав ли я или нет и как должен отразить поступление родительских взносов учредитель?	969687	1	0	0	gosfin
Здравствуйте. Нам нужно оплатить юридическому лицу компенсацию затрат суммой более 200 тыс.руб., проводимую по КВР 853 и КОСГУ 297. Подскажите, пожалуйста, нужно ли данную операцию вводить в план закупок товаров, работ, услуг (работаем по 223-ФЗ)	4285607	1	0	0	gosfin
Доброе утро . Бюджетное учреждение перечисляет в Благотворительный фонд. Какие КВР И КОСГУ использовать	1620318	1	0	0	gosfin
не нашла в ваших материалах речь о сверхнормативном багаже	1895009	1	0	0	gosfin
Добрый день! К списанию материальных запасов кроме ведомости и акта на списания нужны еще документы?	20898550	1	0	0	gosfin
т.е. акт о списании нужно оформлять в момент списания с 101 и 105 на 02 счет, верно? а потом уже только акт об утилизации, когда списываем с 02 счета?	3438910	1	0	0	gosfin
Здравствуйте!СФР возмещает по КФО4 в 2023 годУ произведенные расходы на предупредительные меры по сокращению производственного травматизма и профессиональных заболеваний работников. Расходы на предупредительные меры произведены тоже по КФО4. Надо ли возвращать полученные средства от СФР в бюджет?	18919683	1	0	0	gosfin
Здравствуйте! Как учреждению списать уголь, которым отапливается?	3663281	1	0	0	gosfin
Здравствуйте, подскажите пожалуйста, как и по какому КБК оплатить пени с виновного лица (казенное учреждение)?	731903	1	0	0	gosfin
Добрый день! Бухгалтерские записи при безвозмездной передаче неисключительных прав на программное обеспечение?	18741752	1	0	0	gosfin
Здравствуйте! приобрели программу 1С :Зарплата и кадры гос. учреждения 8ПРОФ( электронная поставка) , как ее учитывать Косгу, КВР	18389038	1	0	0	gosfin
Здравствуйте. Какими проводками отразить возврат излишне возмещенных расходов на оплату дополнительных выходных дней одному из родителей для ухода за детьми-инвалидами?	14333609	1	0	0	gosfin
Спасибо. Пока читаю и разбираюсь.	5150666	1	0	0	gosfin
Добрый день! Подскажите , образует ли новый оклад и учитывается при начислении выплат компенсационного и стимулирующего характера, коэффициент 1,25 для специалистов, работающих на селе? Сфера здравоохранения, бюджетное учреждение?	3799805	1	0	0	gosfin
Здравствуйте! по какому косгу и квр оплатить государственную пошлину за подачу апелляционной жалобы на решение суда. Получатель Казначейство России (ФНС)?	18559867	1	0	0	gosfin
Доброе утро! Аптечка первой помощи работникам ФЭСТ/пластиковый чемоданчик какой КОСГУ можем применить, мы казенное учреждение	5753087	1	0	0	gosfin
Добрый день! Нужно ли включать в решение об инвентаризации счета по которым не было оборотов, а так же счета по по которым были обороты, но нет остатков. Если нужно, то как оформлять инвентаризацию?	18414901	1	0	0	gosfin
мы оказали услугу	5880610	1	0	0	gosfin
"Доброе утро.
Помогите пожалуйста разобраться в нашем вопросе.
Муниципальное бюджетное спортивное учреждение (балансодержатель) в 2021 году по акту передачи, согласно распоряжению Комитета по управлению муниципальным имуществом городского округа (КУМИ) по акту передачи передало в казенное учреждение «Управление капитального строительства городского округа» (УКС) Центральный стадион - комплекс зданий и сооружений в количестве 20 объектов для проведения реконструкции. В ЕГРН Центральный стадион. Комплекс зданий и сооружений числится под одним кадастровым номером. 
Финансирование казенному учрежде"	19400256	1	0	0	gosfin
Доброе утро! Подскажите, пожалуйста, как правильно поступить. Сотруднику в подотчет выдано 10000 рублей в сентябре 2023 года на хозяйственные и ремонтные работы. Работы закончены только сейчас. Чеки и накладные есть и сентябрем и октябрем и ноябрем. как правильно принять авансовый отчет?	2865700	1	0	0	gosfin
Продление отпуска из-за больничного новые условия?	18997736	1	0	0	gosfin
Добрый день уважаемый эксперт прошу разъяснить нужно ли уведомлять какой нибудь контролирующий орган о том, что сотрудник, находящийся в отпуске по уходу за ребенком начал работать на 0,5 ставки?	19354260	1	0	0	gosfin
Единого тарифно-квалификационного справочника работ и профессий рабочих	10957978	1	0	0	gosfin
Добрый день! Можно ли зарегистрировать в налоговой для внесения в ЕГРЮЛ, заместителя начальника, на период исполнения обязанностей начальника. То есть в налоговой будет два лица ?	12136131	1	0	0	gosfin
Здравствуйте! Бюджетное учреждение передало имущество (футбольное поле) спортивному учреждению 26.09.23. На каком забалансовом счете передающему учреждению отражать в учете имущество до оформления права его принимающем учреждением?	6994261	1	0	0	gosfin
Здравствуйте. Пи увольнении сотрудников вы подготавливаем обязательные справки, которые обязаны выдать в день увольнения, такие как персонифицированные сведения и раздел 3 РСВ (остальные по необходимости). Но сотрудник за данными справками не пришел. Как поступить в данной ситуации и грозит ли нам это чем-нибудь?	8159176	1	0	0	gosfin
Доброе утро.. необходимо получить развернутый ответ на вопрос: Казенное учреждение обнаружило, что в составе основных средств в качестве самостоятельного объекта числится двигатель на трэкол, при этом, в тех.паспорте трэкола есть отметка о замене двигателя, о том, что данный двигатель установлен на трэкол. Как в учете отразить исправление ошибки ПРОШЛЫХ лет, то, что бухгалтер не отразил установку двигателя на трэкол?	9440380	1	0	0	gosfin
если поменялся номер лицензии а в ИФНС вовремя не сообщили, чем то чревато?	3371153	1	0	0	gosfin
Здравствуйте! Скажите пожалуйста. Наш сотрудник впервые получает высшее образование, учится по очно-заочной форме. У сотрудника сессия будет проходить в дистанционном формате. Оплачивается ли в этом случае учебный отпуск?	2623457	1	0	0	gosfin
доброе утро! как правильно провести годовую инвентаризацию бюджетное	8522363	1	0	0	gosfin
КВР и КОСГУ в бюджетном учреждении платы за предоставление права на размещение и эксплуатацию нестационарного торгового объекта, установку и эксплуатацию рекламных конструкций.	980440	1	0	0	gosfin
"Добрый день! Скажите пожалуйста 
мы передаем безвозмездно объекты со сч. 1066D, 1066I, 1066N, 1066R, 1116D, 1116I, 1116N, 1116R. Мы должны какой косгу применить 191 или 195? Передача осуществляется кап.вложений в неисключительные права и сами неисключительные права."	16878679	1	0	0	gosfin
по какой статье казенному учреждению отразить приобретение автоматизированных рабочих мест и приобретение отдельно мониторов, системных блоков, картриджей	2832350	1	0	0	gosfin
Наши спортсмены когда уезжают на соревнования в другой город снимают квартиру. Какие документы нам должны предоставить?	4220087	1	0	0	gosfin
Здравствуйте. Нужно ли при списание материальных запасов (канц.товары, хоз.товары) делать на каждое списание протокол комиссии?	13566119	1	0	0	gosfin
Доброе утро, подскажите в комисси по поступлению и выбытию активов, а также в комиссии по инвентаризации обязательно ли должен быть секретарь комиссии	6340703	1	0	0	gosfin
Доброе утро, сотрудник уволен 07.11.2023 по статье 77 ч. 1 п. 1 , а с 08.11.23 сотрудник заболел сам и открыл больничный лист. Подлежит ли оплате б/лист и в каком размере? Спасибо.	3318846	1	0	0	gosfin
Здравствуйте! Верен ли расчет сверхурочных часов сторожа, который увольняется 28.11.2023? Он был в отпуске с 20.06. по 25.07.23. С января по май он отработал 888 часов ( по норме - 774 часа), в июне - 112часов (за 12 рабочих дней - 96ч.), в июле - 48 часов (за 4 раб. дня - 32ч.), с августа по октябрь - 576 часов (528 ч.) , в ноябре - 168 часов (167ч.). Итого сверхурочных - 195 часов.	8602977	1	0	0	gosfin
Доброе утро. Подскажите , пожвлуйста , при оплате компенсации стоимости дороги сотрудники предоставляют чек авиакассы, где оплачены ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ ПО ПОДБОРУ РЕЙСА. Следует ли возмещать за указанные дополнительные расходы.	6539893	1	0	0	gosfin
"Проект закона ""О федеральном бюджете на 2024 год и на плановый период 2025 и 2026 годов"	1900555	1	0	0	gosfin
"Какие учреждения руководствуются данной статьёй-""Основы законодательства Российской Федерации о культуре"" (утв. ВС РФ 09.10.1992 N 3612-1) статья 52?"	3737432	1	0	0	gosfin
да	5880610	1	0	0	gosfin
Доброе утро! Можно ли писать заявление на назначение пособия до 1,5 лет в произвольной форме или обязательно по форме согласно приказу ФСС от 08.04.2022 № 119?	5983818	1	0	0	gosfin
Здравствуйте, мы бюджетное учреждение дополнительного образования спортивная школа. Оказываем услуги услуги по прокату туристического снаряжения и оборудования. Должна ли быть у нас контрольно-кассовая техника?	17693526	1	0	0	gosfin
как снизить тариф на ОСС от несчастных случаев на производстве? на следующий год нашему учреждению повысили тариф	4736714	1	0	0	gosfin
Добрый день! Подскажите почему в Приложении к приказу Минфина от 13.10.2023 № 164н размещены изменения не в Инструкцию № 33н, а в Постановление Правительства РФ от 28.12.2005 № 819?	3161406	1	0	0	gosfin
