templateId	Query
0	Добрый день! Работникам предприятия начисляется индексация раз в квартал. В этот период работник уволился. По распоряжению руководства индексацию уволенным отменили. Бывший работник подал иск в суд и выиграл. Теперь по решению суда мы должны выплатить сумму начисленной индексации. Вопрос: должны ли в 1С проводить начисления? или по решению суда через 76 счет проводками поставить начисления и как быть с НДФЛ?
0	"Добрый день!
Подскажите пожалуйста, количество оплачиваемых дней больничного листа по уходу за ребенком составляет 60 дней. Это на каждого ребенка до 7 лет? Или не зависит от того сколько детей?"
0	"Доброе утро. Нужно ли оплачивать ""военкомат"", которое приходится на выходные дни? Т е работник работает 2 через 2. В военкомате пробыл 2 раб+ 2 вых + 2 раб дня. За сколько дней ему оплатить по среднему заработку?"
0	Доброе утро. Как отменить запись в трудовой книжке
0	Здравствуйте. Директор оплачивает корпоративной картой маркетинговые (рекламные) услуги. На почту приходят чеки ККМ, в чеках указан способ расчета - Предоплата 100 % . Больше никаких документов не предоставляют. Наименование услуг в чеке прописано. Можно на основании только этих чеков составлять авансовый отчет отражать суммы расходов в налоговом учете УСН?
0	как учесть в бухучете и налоговом учете доступ к информационным системам, обучение Главбух
0	Доброе утро. Уточняю вопрос. Подскажите пожалуйста как отразить в декларации по НДС корректировочный счет фактуру на уменьшение суммы по экспорту по договору комиссии (Турция и Южная Корея), мы комитент
0	Здравствуйте! Организация выкупила у физ. лиц право на аренды земельного участка. Земля муниципальная. Как отразить затраты на выкуп права аренды в бух учете?
0	что лучше открывать для бизнеса ИП или ООО?
0	Может ли быть договор займа беспроцентным между ООО и физическим лицом
0	Добрый день, подскажите, у нас произошла замена кровли на здании (реконструкция) как провести по БУ и НУ, нужно ли увеличивать срок по БУ и НУ?
0	Добрый день. Есть договор аренды ППА, объект поставлен на баланс. Сейчас сменился собственник и через ДС аренда продолжается у др. арендодателя. Как отразить в учете, если аренда только до конца текущего года? сменить собственника и продолжать учитывать этот объект? или должно быть прекращение аренды? новый договор не ставить на баланс т.к. срок меньше 12 мес. и сумма аренды будет меньше 300 тыс. ОСНО.
0	добрый день! в организации работают россияне, иностранцы по патенту и иностранцы из стран еаэс. с 2023г страховые взносы оплачивали как енп, а уведомления подавали с кбк страховых взносов по единому тарифу. с какого периода необходимо считать иностранцев по новым тарифам страховых взносов и на какие кбк отправлять уведомления?
0	Здравствуйте! если в расчете больничного от сфр поступили сведения а у работодателя нет этих данных какой расчет подавать в СФР?
0	Здравствуйте! Да, пожалуйста, конечно согласна!!!
0	Внесены изменения в форму ЕФС-1 подраздел 1.1 подраздела 1. С какого момента нужно применять новую форму?
0	Доброе утро! СКажите, новый блан счет- фактуры который хтели ввести с 01 сентября уже вступил в силу?
529854	доброе утро.Пришлите,пожалуйста,ОКВЭД для регистрации ООО:
0	Доброе утро!При оплате штрафа за несвоевременную сдачи отчетности по ЕФС-1 (трудовая деятельность) в платежном поручении какой статус плательщика надо указывать?
0	Здравствуйте. Можно ли оформить отпуск с выходного дня?
0	Добрый день! Если выплата отпускных была произведена 05.09.2023г. В какие сроки нужно будет включать в уведомление и сдать его с этими отпускными?
0	Добрый день. У нас вопрос: физическое лицо берет в аренду нежилое помещение у другого собственника – физического лица. Сумма аренды 37 000 руб. в месяц. Далее это физическое лицо сдает данное нежилое помещение в субаренду юридическому лицу. Сумма субаренды 40 000 в месяц. Какой налог и в каком размере должен платить арендатор, которые сдает нежилое помещение в субаренду. Будет ли при исчислении налога, точнее налоговой базы учитыватся расходы на арендную плату по основному договору аренды – 37 000?
555458	Можно ли подавать только 1 уведомление по ндфл до 25 числа, и не подавать промежуточное ?
0	Доброе утро. Подскажите по такому вопросу. Сотрудник увольняется у него компенсация за отпуск получилась отрицательная сумма. Отчет по страховым взносам не сдать с отрицательной суммой. Как в этом случае сдать отчетность
0	Доброе утро. Вопрос по страховым взносам. Сдали Уведомление об исчисленных суммах налогов и страховых взносов за сентябрь. Ошибочно включили в него страховые взносы (они не включаются, т.к. сдается РСВ за 9 месяцев). Что делать: Сдать корректировочное уведомление с нулевыми данными по страховым взносам, или не сдавать? Не задвоятся ли начисления по взносам?
0	Добрый день. Нужна помощь в подготовке ответа на требование по зарплате , что она ниже зарплаты по соответствующей отрасли в субъекте рф.
