Query	UserId	ChatsNum	Answers	Helps
Добрый день. Нужно ли начислять НДС с импортных рекламных услуг в республике Беларусь. так как местом реализации рекламных услуг является место нахождения Заказчика (нас)	7100429	1	0	0
можно ли включать в аванс премию учтенную в трудовом договоре?	3070158	1	1	0
Добрый день! Подскажите, пожалуйста, учитывается ли стаж работы сотрудника в Казахстане (ранее было гражданство Казахстана) или только стаж работы в России (когда получил российское гражданство)?	5112143	1	0	0
Добрый день. Скажите пожалуйста это обязанность или право, регистрировать договор аренды жилого помещения (организация арендует у физ лица квартиру для вахтовиков ) ?	14243000	1	0	0
премия за время болезни	8709620	1	1	1
спасибо	20124586	1	1	1
изменения октябрь	1629149	1	1	1
"Здравствуйте! ИП на усн ""доходы"" оплачивает счет за запчасти с НДС. Нужно ли ИП прописывать в назначении платежа НДС (сумму или процент). Или в назначении прописывать ""Без НДС""?"	20166377	1	0	0
Добрый день! Частью 3 ст. 13 Закона от 31.07.2023 № 389-ФЗ с 1 октября 2023 года в статью 169 НК внесли два изменения, которые связаны с прослеживаемыми товарами. В связи с этими изменениями, утверждена ли на сегодняшний день каким либо законодательным актом новая форма счета-фактуры?	5972902	1	0	0
Душ в рабочее время	2613528	1	1	1
изменения октябрь	19828872	1	1	1
справочник отчетность полугодие	20642758	1	1	1
изменения октябрь	5903955	1	1	1
У нас не грант, а целевое финансирование от учредителя на уставную деятельность	3507520	1	0	0
здравствуйте подскажите пожалуйста может ли работник увольняться в отпуске? (пример отпуск с 02 октября по 15 октября а увольняется с 13 октября)	5618950	1	0	0
добрый день. если пришло уведомление с ИФНС на сотрудника, подтверждающее право на получение социальных налоговых вычетов за медицинские услуги в указанном размере. Что делать с этим уведомлением?	17684412	1	0	0
Здравствуйте. В каких случаях в УПД может быть не заполнена строка 6а	1916502	1	0	0
Добрый день, подскажите нужно ли сдавать отчет в военкомат ИП ?	4547120	1	0	0
человек работает по совместительству более двух лет на два предприятия как рассчитать больничный	20437744	1	0	0
Здравствуйте.	11234030	1	0	0
ндфл	18040056	1	1	1
Добрый день, какая норма рабочих часов у женщин в районах приравненных к крайнему северу?	17728977	1	0	0
Доброго времени суток . У нас студент обучается по целевому договору. нам согласно договора нужно платить ему социальную поддержку в размере 80% от минимального размера оплаты труда ежемесячно . Какими взносами облагается поддержка ?	5842350	1	0	0
ПФР	12148495	1	0	0
РЕАЛИЗАЦИЯ ПРОДУКЦИИ В КИТАЙ	4771980	1	0	0
ИП арендодатель, система налогообложения ПСН. Заключен договор аренды между двумя ИП, арендатор заплатил на расчетный счет за аренду со своей карты, у него нет расчетного счета, надо ли пробивать чек?	9057783	1	0	0
изменения с сентября	6980516	1	1	1
Доброе утро. подскажите сотрудник устроился в августе, написал заявление на вычет на ребенка в августе. Вычет предоставлять с н.г.? т.ею в августе 1400*8= 11200	626066	1	0	0
Здравствуйте, прошу подсказать- пришло требование их налоговой о вызове в налоговый орган для дачи пояснений по вопросу. Но территориально головной офис у нас находится очень далеко . Что нужно ответить налоговой?	18019954	1	0	0
добрый день	881771	1	1	0
Добрый день!	4280477	1	1	0
Добрый день! Подскажите, пожалуйста, у нас произв.компания, мы арендуем помещение. В этом помещении установлено оборудование, с целю проработки ряда вопросов обеспечения пожарной безопасности вызван специалист, который обследовал помещения и разработал план эвакуации. Смущает, что это арендованное помещение. Как правильно учесть в БУ и НУ, можно ли принять их к уменьшению налога на прибыль?	3255300	1	0	0
Добрый день. организации перечислена сумма за товар 26.09.23 в размере 1130000 руб. отгрузка произведена в этот же день и на следующий, т.е. 26.09.23 и 27.09.23 на общую сумму 1124071 руб. остаток составил 5929 руб. нужно ли выписывать авансовую счет-фактуру на сумму остатка.	9796229	1	0	0
изменения октябрь 2023	186812	1	1	1
Добрый день! Удержания по исполнительному листу из пенсии по инвалидности в каком размере	1920231	1	0	0
добрый день. Подскажите ИП выводит свои деньги по зп проекту. При проверке налоговая может начислить на деньги перечисленные ИП самому себе по зп проекту налоги. Если можно то ссылку на письма Минфина и и на решения судов, по которым ИПшникам налоговая доначисляет налоги	1568631	1	0	0
здравствуйте	901978	1	1	1
Здравствуйте. Если деятельность предприятия приостановлена и сотрудники отправлены в отпуск без содержания на один месяц. И дохода в течении месяца нет, отразится ли это на социальные выплаты на детей ? Заранее спасибо.	1854984	1	0	0
Здравствуйте! При оформлении Заявления на зачет в счет предстоящей обязанности страховых взносов ИП указали срок 31.12.2023 г. (вместо переноса 09.01.2024). Вправе ли отказать налоговая инспекци в проведении данного зачета по причине не верно указанной даты срока?	2596145	1	0	0
Добрый день! В 2022г. предприятие было на общей системе налогообложения. Произвели реализацию в 2022г. Эта реализация была отражена в декларации по налогу на прибыль. С 2023г. перешли на УСН (доходы). Деньги поступили за реализованную продукцию только в 2023г. Должны ли мы показывать в книге доходов данные суммы и платить УСН?	302272	1	0	0
доброе утро мы холдиноговая компания владеем ооо более 50% свыше 365 дней получили дивиденды 60 млн за нас ооо должно платить ндфл ? и должны мы с этих дивидендов платить налог на прибыль? а также меня интересует распределить эти деньги мы можем между собственниками и сколько ндфл 13 до 5 млн и потом 15?	2021291	1	0	0
Добрый день. Подскажите как оформить для прокуратуры проведение с сотрудниками беседы о вынесении предупреждений о будущем взыскании если данные нарушения будут повторятся	3245352	1	0	0
Доброе утро! ИП осуществляет предпринимательскую деятельность в помещениии, принадлежащее супруге ФЛ, может ли супруга получить льготу на налог на имущество ФЛ?	2590693	1	0	0
Здравствуйте! Наша организация выдала процентный займ другой организации, в договоре указано что проценты выплачиваются одновременно с возвратом суммы займа, начислять проценты за пользование займом наша организация должна ежемесячно?	389074	1	0	0
Доброе утро ,Нужна ли новая графа в счет-фактуре ,если организация не продает прослеживаемы товары?	400014	1	1	1
чек лист на октябрь	399224	1	1	1
"Здравствуйте! Прошу Вас помочь ответить на вопрос.
После проведения инвентаризации , обнаружена недостача с выявленным виновным лицом. Виновное лицо согласно погасить недостачу, путем удержания из его з/пл. Вопрос:
1.Нужно ли воостанавливать НДС
2. Удерживать недостачу с НДС или без НДС"	1941394	1	0	0
образец платежки на 02.10.2023 единого налогового платежа	6568152	1	0	0
Спасибо!	20284955	1	1	1
Доброе утро ! Облагается ли ндфл и страховыми взносами съем жилья иногороднему сотруднику?	10170464	1	0	0
Здравствуйте, сотрудник принес закрытый с 29.09.23 больничный лист и хочет сразу уволиться, директор не против. Могу я уволить его 30.09.23, в субботу?	5094897	1	0	0
доброго времени суток, нужен образец справки об оплате участником доли в УК (умершего) ООО для вступления наследство	932021	1	0	0
чек лист на октябрь	18380945	1	1	1
здравствуйте. Подскажите, для индивидуальных предпринимателей есть обязанность сдавать в военкомат отчет ?	3069472	1	0	0
Здравствуйте. Когда будут опубликованы индексы потребительских цен за сентябрь 2023?	6132443	1	1	0
Добрый день, 28.09.23 задавала вопрос, отправляла уточнение на свой вопрос, но ответ так и не получен. Вопрос : предупредительные меры по сокращению травматизма организация, занимающаяся перевозкой пассажиров может финансировать за счет средств СФР, в списке присутствует статья затрат на приобретение приборов контроля за режимом труда и отдыха водителей (тахографы), если страхователь занимается пассажирскими и грузовыми перевозками, а меня интересует вопрос по замене блока СКЗИ, который действует три года, сам тахограф не нужно менять через три года, а блок СКЗИ необходимо, может ли организаци	3814871	1	0	0
командировка в тот же город	4915738	1	1	1
Добрый день! Расходы на улучшение дорог (в том числе ремонт) на территории сельхозпредприятия входят в состав расходов по ЕСХН?	8832276	1	0	0
чек лист	20926202	1	1	1
Добрый день. Подскажите, можно ли в Московской области оформить патент н деятельности фитобара?	20633322	1	1	1
Доброго Дня! Ранее ПФР выписывал штраф, если пропустили сотрудника в СЗВ-М, и сдавали дополняющую за него. Сейчас вместо СЗВ-М сдаем ПСВ. Есть ли сейчас в аналогичной ситуации штраф, если забыли включить сотрудника? Например, его нужно было включить в ПСВ за июль.	713898	1	0	0
Здравствуйте	1575330	1	1	0
отчетность за 9 месяцев	8608259	1	1	1
Изменения октябрь	1577348	1	1	1
У нас заключен договор с поставщиком на поставку продукции. условия поставки: доставка силами и за счет поставщика до склада грузополучателя. Грузополучателем является третья организация. Нужно ли нам оформлять доверенность на получение груза Грузополучателем ?	6783705	1	0	0
здравствуйте	16313465	1	1	1
подскажите пожалуйста, для применения ставки налога на прибыль 0 процентов для медицинской организации в численность считаются ли внешние совместители? и могут ли вообще внешние совместители быть в такой организации?	4080697	1	0	0
пояснение о расхождении вычетов в декларации по усн доходы на сумму больничных за счет работадателя	8883926	1	0	0
Доброе утро! Подскажите пожалуйста обязательно ли заключать договор с контрагентом на оказание услуг на маленькую сумму?	18196528	1	0	0
Добрый день! Сотрудник устроился на работу 02.05.2023г, а ребенок родился 15. 04.2023г. должны ли мы оформить и отправить в ФСС данные по рождению ребенка для получения пособия при рождении?	4433775	1	0	0
Добрый день.	4233952	1	1	0
здравствуйте, взяли в лизинг помещение , его предполагаем сдавать в аренду, пока идут подготовительные работы, как и в какой момент в НУ отражать в расходах лизинговые платежи, кот уже идут	15153807	1	0	0
вопрос по сдаче сведений по сотрудни кам в военкомат	17889197	1	0	0
Добрый день, подскажите, какие пояснения можно дать в налоговую инспекцию по поводу не использования дифференцированного подхода по оплате труда, отсутствует разница в окладах работников разных специальностей.	15490302	1	0	0
добрый день подскажите как сменить генерального директора в ООО. сначала нужно получить ЭЦП на имя нового ген директора а потом привязывать генерального директора в госуслугах	235874	1	0	0
СПРАВОЧНИК ОТЧЕТНОСТИ 9 М	888462	1	0	0
Сверка ЕНП	3479173	1	1	1
Нас интересует агентский договор, а не договор ГПХ.	532675	1	0	0
изменения сентября	5565459	1	1	1
Добрый день! Подскажите, пожалуйста, должен ИП без наемных сотрудников сдавать 6-НДФЛ?	294368	1	1	1
Добрый день. Хотим заключить договор с юристом на представительство в суде по конкретному делу. Является ли такой договор договором ГПХ или нет, обязаны ли мы удерживать с этой выплаты НДФЛ. У юриста нет статуса адвоката и он не является ИП	183343	1	0	0
Здравствуйте! Вопрос. У сотрудника поменялся разряд на основном месте работы. По совместительству тоже посылаем сведения в ФСС о повышении разряда?	20222421	1	0	0
где посмотреть баллы	9819572	1	0	0
Здравствуйте. На наш р/сч ошибочно поступили деньги от бывшего арендатора. Возврат нужно осуществить на тот же р/ч, с которого и поступили деньги или можно уточнить у бывшего арендатора на какой счет будет лучше вернуть?	14760278	1	0	0
Премия во время болезни	18895811	1	0	0
Добрый день! Как учесть договор хранения? Мы по нему являемся хранителем.	4846160	1	0	0
Добрый день. В системе Главбух есть информация о порядке учета приема металла у населения?	385483	1	0	0
Добрый день! Подскажите пожалуйста, если ИП исключили из госреестра как недействующее, то может ли этот человек сразу быть назначен в ООО директором, или необходимо ждать три года?	533480	1	0	0
необходимо ли заверять натариально форму р30014 внесение смены егрюл при смене руководиля	20276369	1	0	0
Здравствуйте! Организация на УСН-доходы обменяла зем.участок, который числился как основное средство на сч.01 на земельный участок, находящийся в собственности у Комитета по управлению муниципальным имуществом администрации, по договору мены земельных участков. Как отразить мену зем.участков в бух.учете, налог УСН?	779723	1	0	0
расчет больничного с нарушением	17406215	1	1	0
Доброе утро, у нас договор на долгосрочную аренду помещения прошло 5лет какие документы мы должны сейчас оформить я так понимаю что то связано с регистрационной палатой пожалуйста пришлите нам образцы писем или какие-то еще нужны документы для оформления может ссылки на законодательные документы пришлете ознакомиться	16871183	1	0	0
Здравствуйте здравствуйте	20462906	1	1	1
Добрый день! Вопрос по воинскому учету. В организации ранее сведения по кадрам в военкомат не предоставлялись. Сейчас надо подать сведения на всех ранее (давно) принятых или только на новых (принимаемых ) сотрудников?	293139	1	0	0
Доброе утро! ИП находится на УСН 6%, планируем сменить место жительства (г. Самара) ,на г. Элиста (республика Калмыкия) соответственно регистрацию в ИФНС. Деятельность (сдача в аренду недвижимости ) ИП ведет в г. Оренбурге. Куда подавать декларацию по УСН и если до конца года будет перерегистрация по какой ставке платить налог УСН?	4210570	1	0	0
Доброе утро, нужно в 2023 году платить аванс по усн 6%	16844894	1	1	1
изменения октябрь 2023	3204535	1	1	1
Добрый день. Как оформляется призыв в армию сотрудника на срочную службу?	3245352	1	0	0
УСН налоговый учет есть необходимость вести учёт материалов согласно номенклатуре	1584140	1	0	0
требуется ли согласие на обработку персональных данных при оформлении возврата розничному покупателю. Добрый день.	20907384	1	0	0
мы согласны подождать . для нас этот вопрос остался не решенным	5842350	1	0	0
ндс при экспорте	223784	1	1	1
добрый день. Подскажите, является ли НМА при обретенная лицензия на право использования СКЗИ КриптоПро? Компания ООО на ОСНО досрочно применяет ФСБУ 14.	20101380	1	0	0
Здравствуйте. Уплата страховых взносов с суммы превышения оплачиваются так же единым налоговым платежом?	785746	1	1	0
Добрый день, отправляем сотрудника в отпуск, в каком виде сохранять записку-расчет? Есть утвержденная форма? Или нужно ли предоставлять его работнику?	18413984	1	0	0
Если сделку между Российским юр лицом и Казахским юр лицом признают афелированной то какие риски у Казахской стороны ?	20395043	1	0	0
Доброе утро.Если в Приказе к ШР ошибка,то такое ШР не действительное?По нему нельзя начислять зп?Какие последствия могут быть для организации?	2150886	1	0	0
доброе утро! на работу в организацию хочет устроиться гражданка Узбекистана, которая учится в Московском ВУЗе. У нее нет патента. Утверждает, что для работы в Московской организации, студенту патент не нужен. Это правда?	8479031	1	0	0
Доброе утро! Пришлите, пожалуйста, если есть в системе, разъяснения по порядку заполнения документов по оплате зарубежным поставщикам (платежные поручения, заявления и т.д.) при оплате 1) в валюте и 2) в рублях - с образцами заполнения	18318324	1	0	0
Добрый день. Помогите, пожалуйста найти документы. Правила землепользования Марковского городского поселения Иркутской области Иркутского района	17649420	1	0	0
"доброе утро, ООО приобретает топливные карты и заключает договор с постащиком ГСМ, у ООО собственного транспорта нет, заправляться будут сотрудники на личном транспорте. Вопрос:
1. НДС от поставщика к вычету можем взять?
2. Какие документы нужны , чтобы правильно вести учет ГСМ , чтобы ГСМ включать в расходы при расчете налога на прибыль организации
3. Как правильно вести учет ГСМ с сотрудниками - путевые листы нужны обязательно? сотрудники не водители, разъездной харакетр работы пропишем в доп соглашении
4. НДФЛ и страховые взносы с выплат сотрудникам за ГСМ, за использование личного транспор"	1757876	1	0	0
Засчитывается ли время работы в частной клинике на должности главной медсестры в льготный медицинский стаж?	6132443	1	0	0
тест	15482304	1	1	1
Здравствуйте! Работница находится в ежегодном отпуске по 29 сентября 2023 года. Хочет после отпуска уволиться по собст. желанию. Можно ли составить приказ 29.09.2023, что работник увольняется с 30.09.2023 и 02.10.2023, т.е. сегодня подать сведения в СФР об увольнении? Это делается, чтобы она смогла получить перерасчет пенсии за октябрь месяц. Если ее уволить сегодняшним числом, то на этот месяц она не получить перерасчет пенсии.	16553769	1	0	0
Добрый день!. с начало года выставляем клиенту акты выполненных работ, они подписывают. Проблем нет. Сейчас узнаем, что у них в начале года сменился юр. адрес. Что нам делать?	4026700	1	0	0
Добрый день. Предусмотрены ли штрафы за несвоевременную постановку на воинский учет в районной администрации	15199074	1	0	0
Добрый день! Пришел больничный на сотрудника по коду 09, в одном больничном 2 ребенка, 2015г.р. и 2020г.р., по какому ребенку считать сумму больничного?	6357610	1	0	0
Работники работают по сменам, и у них смена выпадает на субботу воскресенье как правильно начислять зарплату?	5275118	1	0	0
Доброе утро! Какие иностранцы, кроме Китая и Вьетнама, застрахованы только по одному или двум из трех видов страхования?	4374227	1	0	0
Добрый день.	12858324	1	1	0
изменение октября	2374179	1	1	1
запись в трудовую унижку за прогул	185845	1	0	0
чек лист октябрь	18986575	1	1	1
ИП ведет деятельность и работает по трудовому договору (основное место работы) планирует уйти в декрет, будет ли женщина получать в полном объеме декретные, если по трудовому договору будет в декретном, а по ИП деятельность будет продолжаться	1869352	1	0	0
Доброе утро! есть калькулятор для расчета фикс.страховых взносов на ИП, если предприниматель зарегистрирован не в начале года ?	2826937	1	0	0
как можно продать недвижимость по договору ДДу, на который право собственности не зарегистрировано и акт приема-передачи не оформлен?	10701139	1	0	0
Здравствуйте! Мы арендуем квартиру у физического лица. Какие сведения мы должны подать в налоговую? В каких отчетах мы должны включить эти суммы	2479556	1	0	0
Здравствуйте!	365002	1	1	0
Добрый день! Подскажите какие штрафы на сегодняшний день существуют за несвоевременную подачу персонифицированных сведений по сотрудникам ООО?	17596183	1	0	0
"Здравствуйте. Согласно п. 1. Постановления Правительства РФ от 16 апреля 2022 г. N 680, независящих от сторон контракта обстоятельств, влекущих невозможность его исполнения, в 2022 - 2023 годах допускаются изменения существенных условий контракта: в том числе 
ж) изменение (увеличение) цены контракта без изменения объема и (или) видов выполняемых работ в связи с увеличением цен на строительные ресурсы в порядке, установленном Постановлением Правительства Российской Федерации от 9 августа 2021 г. N 1315 ""О внесении изменений в некоторые акты Правительства Российской Федерации"";
Распространяется"	3759554	1	0	0
"Добрый день
Пожалуйста, проконсультируйте можно ли подавать налоговую декларацию за налоговый период, не дожидаясь его окончания.
Например, декларацию по НДС за 3 квартал подать 29.сентября.
Естьли в законе огарничения на раннюю дату отправки декларации за отчетный период."	20382983	1	0	0
Доброе утро! Подскажите, пожалуйста, может ли работающий человек, выполняющий обслуживание и ремонт станков с ЧПУ на другом предприятии, зарегистрироваться как самозанятый. Если да, то какие будут в данном случаи риски для всех, налоги.	3245505	1	0	0
мне нужна платёжка при оплате единого налогового платежа	6568152	1	0	0
в какой момент с ЕНС ИП списывают (резервируют) личные налоги как ФЛ - в момент выставления уведомления по личным налогам или 01.12 - срок уплаты.	1599589	1	0	0
здравствуйте	8993139	1	1	0
Добрый день, вышлите пожалуйста методику, положение по годовой инвентаризации.	16892720	1	1	0
Здравствуйте, что учитывается в заработной плате при сравнении с минимальной оплатой труда. Оклад и премия. Районный коэффициент, северная надбавка, ночные, свехурочные, праздничные не учитываются. А надбавка за вредность. Что то запуталась.	2092394	1	0	0
Добрый день. Нужно ли работодателю подавать какие-либо отчеты в военкомат?	2020461	1	1	0
В какой форме должен быть оформлен документ, подтверждающий оплату и на спец машине должен сделан или нет?	9057783	1	0	0
ДОБРЫЙ ДЕНЬ. Хотим подать иск в Арбитражный суд. Вопрос по оплате госпошлины - Платим на единый налоговый счет на КБК 18210801000011050110? Уведомление на пошлину надо подавать?	2620227	1	0	0
нужна ли доверенность на получение товара грузополучателю третьему лицу? если в спецификации прописан данный грузополучатель. доставка за счет поставщика	6783705	1	0	0
сверка	1575829	1	1	0
справочник отчетности за весь месяц	3747084	1	0	0
Добрый день. Мы используем товарный знак, который принадлежит ИП. Оплата за использование ежемесячно по договору. Можем ли мы учесть расходах УСН данные платежи?	664835	1	0	0
Добрый день.	5326763	1	1	0
Доброе утро! Блокировка личной карты ИП на патенте по ФЗ 115 . требование пояснить большое кол-во переводов по карте и подтвердить документально . Как правильно ответить на запрос финмониторинга?	19109740	1	0	0
"Здравствуйте. Организация планируется заниматься импортом товаров с ирана. Поставщик предоставил образцы продукции для прохождения экспертизы. На таможне зарегистрирована ДТ, в поле 24 "" Характер сделки"" указан код 028 ""Безвозмездная поставка (возврат по рекламации, поставка сырья на переработку, отходы переработки, за которые не предусмотрены расчеты, ошибочная поставка, образцы, гарантийное обслуживание, отчеты (кроме кодируемых кодом 023), не являющиеся предметом договора, служащие подтверждением факта выполненных работ (оказания услуг), образцы, в том числе расходуемые, а также товары/обо"	896671	1	0	0
"Добрый день! Компания производитель, является субъектом МСП, соответственно акциз на сахаросодержащие напитки должна начислять на реализованную продукцию с 1 октября 2023 год.

Подскажите, если на 1 октября есть остатки продукции, произведенные в сентябре – нужно ли на эту продукцию начислять акциз при реализации или акциз начисляется только на продукцию, произведенную в октябре?"	1941394	1	0	0
